year_month,age_group,n_emp,source
2025-03,26-30,509245,headline
2025-03,31-34,513604,headline
2025-03,35-40,778270,headline
2025-03,41-49,1050690,headline
2025-03,50+,2080661,headline
2025-04,22-25,343858,headline
2025-04,26-30,512005,headline
2025-04,31-34,515107,headline
2025-04,35-40,780329,headline
2025-04,41-49,1052812,headline
2025-04,50+,2083548,headline
2025-05,22-25,352665,headline
2025-05,26-30,517720,headline
2025-05,31-34,518957,headline
2025-05,35-40,785037,headline
2025-05,41-49,1058044,headline
2025-05,50+,2090748,headline
2025-06,22-25,381836,headline
2025-06,26-30,536783,headline
2025-06,31-34,531210,headline
2025-06,35-40,799536,headline
2025-06,41-49,1073321,headline
2025-06,50+,2159027,headline
